Applicant,LocationDescription,Address,FoodItems,Latitude,Longitude
Leo's Hot Dogs,MISSION ST: 19TH ST to 20TH ST (2300 - 2399),2301 MISSION ST,Hot dogs and related toppings: non alcoholic beverages,37.760086931987,-122.418806481101
Ziaurehman Amini,MARKET ST: DRUMM ST intersection,5 THE EMBARCADERO,,37.7943310032468,-122.395811053023
Casita Vegana,JOHN MUIR DR: LAKE MERCED BLVD to SKYLINE BLVD (200 - 699),Assessors Block 7283/Lot004,Coffee: Vegan Pastries: Vegan Hot Dogs: Vegan Tamales: Te: Vegan Shakes,37.7218897087084,-122.492521244995
Sunset Mercantile/Outer Sunset Farmers Market & Mercantile,37TH AVE: QUINTARA ST to RIVERA ST (2100 - 2199),2155 37TH AVE,Multiple Food Trucks & Food Types,37.7473265465412,-122.496280672705
El Calamar Perubian Food Truck,MISSION ST: ANTHONY ST to 02ND ST (573 - 599),85 02ND ST,Lomo Saltado: Jalea: Ceviche: Calamar: Tilapia plate: chicken special. Soda: Water.,37.7884570288289,-122.399884160566
"BOWL'D ACAI, LLC.",MONTGOMERY ST: CALIFORNIA ST to SACRAMENTO ST (400 - 499),451 MONTGOMERY ST,Acai Bowls: Smoothies: Juices,37.7935769332618,-122.403229876701
"BOWL'D ACAI, LLC.",LARKIN ST: FULTON ST to MCALLISTER ST (200 - 299),200 LARKIN ST,Acai Bowls: Smoothies: Juices,37.7802154802881,-122.416025770151
MOMO INNOVATION LLC,CALIFORNIA ST: BATTERY ST to SANSOME ST (300 - 399),351 CALIFORNIA ST,Noodles: Meat & Drinks,37.7928707497415,-122.400747494077
MOMO INNOVATION LLC,CALIFORNIA ST: DAVIS ST to FRONT ST (100 - 199),101 CALIFORNIA ST,MOMO Spicy Noodle: POPO's Noodle: Spicy Chicken Noodle: Rice Noodles,37.7929489528347,-122.398098613167
Buenafe,RANKIN ST: DAVIDSON AVE to EVANS AVE (200 - 299),220 RANKIN ST,Tacos: Burritos: Quesadillas: Tortas,37.7457492406203,-122.392481487678
MOMO INNOVATION LLC,MISSION ST: SHAW ALY to ANTHONY ST (543 - 586),555 MISSION ST,Noodles,37.7884461569013,-122.398641242039
Buenafe,EVANS AVE: PHELPS ST to QUINT ST (1600 - 1699),750 PHELPS ST,Tacos: Burritos: Quesadillas: Tortas,37.7394454528691,-122.393014986698
MOMO INNOVATION LLC,BUSH ST: BATTERY ST to SANSOME ST (100 - 199),1 BUSH ST,Noodles,37.7909215072692,-122.400100423739
"BOWL'D ACAI, LLC.",BUCHANAN ST: NORTH POINT ST to BEACH ST \ LOWER FORT MASON ST \ MARINA BLVD (3700 - 3799),15 MARINA BLVD,Acai Bowls: Poke Bowls: Smoothies: Juices,37.8045778690901,-122.433010774343
HalalCartSF LLC,MARKET ST: FREMONT ST \ FRONT ST to 01ST ST \ BUSH ST (401 - 499) -- SOUTH --,455 MARKET ST,Gyros: Kebabs: soft drinks: and water,37.7909470419234,-122.398633589404
"BOWL'D ACAI, LLC.",BATTERY ST: PINE ST to CALIFORNIA ST (100 - 199),111 BATTERY ST,Acai Bowls: Smoothies: Juices,37.7923667868831,-122.400148306767
Philz Coffee Truck,MONTGOMERY ST: COLUMBUS AVE \ WASHINGTON ST to JACKSON ST (700 - 799),735 MONTGOMERY ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7962154965941,-122.403754558245
Philz Coffee Truck,PINE ST: BATTERY ST to SANSOME ST (200 - 299),250 PINE ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7922955998187,-122.400706897233
Buenafe,MISSISSIPPI ST: 07TH ST \ 16TH ST to 17TH ST (1 - 99),901 16TH ST,Tacos burritos quesadillas tortas pupusas flautas tamales,37.766124694427,-122.39547306227
MOMO INNOVATION LLC,MISSION ST: ANNIE ST to 03RD ST (663 - 699),667 MISSION ST,Noodles: Meat & Drinks,37.7865580501799,-122.40103337535
Truly Food & More,GENEVA AVE: PRAGUE ST to LINDA VISTA STPS (1500 - 1598) -- SOUTH --,1500 GENEVA AVE,Latin Food: Tacos: Pupusas: Vegetables: Salad: Water: Sodas,37.7123026047444,-122.431644190373
Philz Coffee Truck,CALIFORNIA ST: SANSOME ST to LEIDESDORFF ST (400 - 448),401 CALIFORNIA ST,Hot coffee: iced coffee: hot chocolate: tea: pastries,37.7927957415787,-122.401353280931
